Desayuno - General -----------------------------------------------------------------------------------

Leche	2.0	2.0	480.0	296.0	15.8	16.0	22.4	480.0	2
Plátano	2.0	1.0	108.0	96.0	1.2	0.4	24.8	108.0	1
Chocolate Don Gustavo	3.0	6.0	30.0	123.0	1.8	2.1	24.3	30.0	6
Avena en hojuelas	1.0	0.5	20.0	73.0	3.2	1.3	13.4	20.0	0.5
Pan siete granos	4.0	4.0	104.0	260.0	10.4	4.0	48.4	104.0	4
Frijoles refritos	2.0	0.6666	150.0	190.0	8.2	8.2	22.6	150	0.6666
Queso gouda	2.0	60.0	60.0	214.0	15.0	16.4	1.4	60	60.0
Jitomate	1.0	1.0	116.0	21.0	1.0	0.2	4.5	116.0	1
Cebolla blanca	0.5	0.25	29.0	11.5	0.3	0.05	2.7	29.0	0.25
Mayonesa	4.0	4.0	20.0	136.0	0.4	14.4	0.8	20.0	4

Desayuno - Ajustado

Leche	0.5	0.5	120.0	74.0	3.95	4.0	5.6	120.0	0.5
Plátano	1.0	0.5	54.0	48.0	0.6000000000000001	0.2	12.4	54.0	0.5
Chocolate Don Gustavo	1.0	2.0	10.0	41.0	0.6	0.7	8.1	10.0	2
Avena en hojuelas	0.5	0.25	10.0	36.5	1.6	0.65	6.7	10	0.25
Pan siete granos	1.0	1.0	26.0	65.0	2.6	1.0	12.1	26.0	1
Frijoles refritos	0.5	0.16665	37.5	47.5	2.05	2.05	5.65	37.5	0.16665
Queso gouda	0.5	15.0	15.0	53.5	3.75	4.1	0.35	15	15.0
Jitomate	0.25	0.25	29.0	5.25	0.25	0.05	1.125	29.0	0.25
Cebolla blanca	0.25	0.125	14.5	5.75	0.15	0.025	1.35	14.5	0.125
Mayonesa	0.25	0.25	1.25	8.5	0.025	0.9	0.05	1.25	0.25

Comida - Datos -------------------------------------------------------------------------------------

Agua	1	1	240	0	0	0	0	240.0	1
Azúcar	1	2	8	33	0	0	8.4	8.0	2
Jugo de limón	1	0.75	180	45	0.7	0	15.6	240.0	1
